ds,yhat
2022-12-31,163.63166919137433
2023-01-01,164.01399020473843
2023-01-02,160.02704811885798
2023-01-03,160.61980099363137
2023-01-04,154.78050635924973
2023-01-05,160.01684055546707
2023-01-06,152.7984579747124
2023-01-07,150.38150242215931
2023-01-08,152.02515168265077
2023-01-09,149.74215017133355
2023-01-10,152.431791063937
2023-01-11,149.02129347269573
2023-01-12,156.9475207927523
2023-01-13,152.60141654194643
2023-01-14,153.1546195055542
2023-01-15,157.7782824073236
2023-01-16,158.39598721688702
2023-01-17,163.81915353010328
2023-01-18,162.89081924029904
2023-01-19,172.96967372670036
2023-01-20,170.37665626896776
2023-01-21,172.22352193770172
2023-01-22,177.6333453329537
2023-01-23,178.49480864218987
2023-01-24,183.59863232830685
2023-01-25,181.78199911038098
2023-01-26,190.41283327868456
2023-01-27,185.83624074007113
2023-01-28,185.20251580743388
2023-01-29,187.68669983767217
2023-01-30,185.2415634787298
2023-01-31,186.73240597468435
2023-02-01,181.07956620020718
2023-02-02,185.74055911787914
2023-02-03,177.15420091341838
2023-02-04,172.5661912810586
2023-02-05,171.24620328998432
2023-02-06,165.23841897759888
2023-02-07,163.49396973230677
2023-02-08,155.01123917003665
2023-02-09,157.3160009232841
2023-02-10,146.90380741090343
2023-02-11,141.0641435291284
2023-02-12,139.09643259429618
2023-02-13,133.05986003557814
2023-02-14,131.9054909938323
2023-02-15,124.61664594820255
2023-02-16,128.68950240722384
2023-02-17,120.57632373351566
2023-02-18,117.51080390372744
2023-02-19,118.72558101103499
2023-02-20,116.20384211836415
2023-02-21,118.81344560160684
2023-02-22,115.44946939860117
2023-02-23,123.51709338720124
2023-02-24,119.37715473264032
2023-02-25,120.17380210412597
2023-02-26,125.05423974795139
2023-02-27,125.92242499140409
2023-02-28,131.57509069197434
2023-03-01,130.84595230546043
2023-03-02,141.0899662460443
2023-03-03,138.62994510544587
2023-03-04,140.5849314838203
2023-03-05,146.09030697815598
2023-03-06,147.05149547022492
2023-03-07,152.27963781784808
2023-03-08,150.63511296833974
2023-03-09,159.51079672088073
2023-03-10,155.27739666949935
2023-03-11,155.11030541981398
2023-03-12,158.20799511143346
2023-03-13,156.54386362130975
2023-03-14,158.99996401715
2023-03-15,154.50854838092465
2023-03-16,160.53337334246373
2023-03-17,153.51316037161064
2023-03-18,150.68670429884514
2023-03-19,151.30969989452572
2023-03-20,147.4052378142536
2023-03-21,147.89643543956137
2023-03-22,141.7471598321328
2023-03-23,146.44280772795034
2023-03-24,138.4335442952493
2023-03-25,134.95949376351666
2023-03-26,135.2679424838155
2023-03-27,131.3644879495652
2023-03-28,132.14657365704693
2023-03-29,126.54533437096845
2023-03-30,132.00767812514883
