,predicted_mean
2022-12-31,205.3746276829463
2023-01-01,172.00938808372547
2023-01-02,147.7293640011028
2023-01-03,138.8816890785704
2023-01-04,126.05685379023014
2023-01-05,127.27453855793374
2023-01-06,119.78004934738885
2023-01-07,113.66932884318378
2023-01-08,112.91346098265754
2023-01-09,109.15276242280602
2023-01-10,110.89860261584973
2023-01-11,106.55264766307565
2023-01-12,113.54867894775595
2023-01-13,107.16012376765171
2023-01-14,106.02718557380729
2023-01-15,108.07011840162883
2023-01-16,106.04969153653936
2023-01-17,108.76267566418055
2023-01-18,105.10754834864397
2023-01-19,112.55551683712697
2023-01-20,106.32274172236767
2023-01-21,105.49874591984431
2023-01-22,107.7184240329706
2023-01-23,105.80750967226618
2023-01-24,108.5826417466692
2023-01-25,104.97045725933603
2023-01-26,112.44615093771915
2023-01-27,106.22434022955781
2023-01-28,105.41766405310814
2023-01-29,107.64732852006767
2023-01-30,105.74259204712298
2023-01-31,108.52126255428335
2023-02-01,104.91148720435181
2023-02-02,112.38872689033124
2023-02-03,106.16756404244147
2023-02-04,105.36181133411012
2023-02-05,107.59201047146657
2023-02-06,105.68760448985951
2023-02-07,108.46646520410854
2023-02-08,104.85681835610383
2023-02-09,112.33414023879729
2023-02-10,106.11301287494325
2023-02-11,105.30730805905385
2023-02-12,107.53753499097554
2023-02-13,105.63314618167567
2023-02-14,108.41201680627147
2023-02-15,104.80237662402138
2023-02-16,112.27970276255185
2023-02-17,106.0585772669888
2023-02-18,105.2528748947535
2023-02-19,107.48310324687426
2023-02-20,105.57871531476745
2023-02-21,108.35758644643387
2023-02-22,104.74794660434036
2023-02-23,112.22527295980504
2023-02-24,106.00414756042835
2023-02-25,105.1984453116482
2023-02-26,107.4286737355812
2023-02-27,105.52428584782186
2023-02-28,108.30315700514967
2023-03-01,104.69351718024251
2023-03-02,112.1708435466602
2023-03-03,105.94971815216968
2023-03-04,105.1440159095883
2023-03-05,107.37424433712901
2023-03-06,105.46985645159737
2023-03-07,108.24872761021503
2023-03-08,104.63908778617085
2023-03-09,112.11641415313827
2023-03-10,105.89528875889393
2023-03-11,105.08958651662257
2023-03-12,107.31981494434379
2023-03-13,105.41542705892358
2023-03-14,108.19429821760582
2023-03-15,104.5846583936048
2023-03-16,112.0619847605997
2023-03-17,105.8408593663677
2023-03-18,105.03515712411182
2023-03-19,107.26538555184204
2023-03-20,105.3609976664274
2023-03-21,108.13986882511286
2023-03-22,104.530229001114
2023-03-23,112.00755536811027
2023-03-24,105.78642997387888
2023-03-25,104.98072773162377
2023-03-26,107.21095615935445
2023-03-27,105.30656827394009
2023-03-28,108.08543943262569
2023-03-29,104.47579960862694
2023-03-30,111.9531259756233
